Time Start Target Weight

1 10000 4725 1
1 4725 6805 1
1 4725 7523 1
1 4725 7524 1
1 4725 7673 1
1 4725 9352 1
1 4725 9356 1
1 4725 9368 1
1 4725 9599 1
1 4725 9601 1
1 4725 9614 1
1 4725 9618 1
1 4725 9997 1
1 4725 10000 1
1 4725 10006 1
1 4732 4983 1
1 4732 7690 1
1 4732 9354 1
1 4732 9356 1
1 4732 9357 1
1 4732 9368 1
1 4732 9380 1
1 4732 9601 1
1 4732 10000 1
1 4732 10001 1
1 4732 10002 1
1 4732 10003 1
1 4732 10004 1
1 4732 10011 1
1 4732 10019 1
1 4732 17514 1
1 4680 7524 1
1 4680 7526 1
1 4680 10001 1
1 7518 9351 1
1 7518 9354 1
1 7518 9363 1
1 7518 9613 1
1 7518 9615 1
1 7518 9997 1
1 7518 10002 1
1 7518 10003 1
1 7518 10011 1
1 7518 10019 1
1 4716 6461 1
1 4716 7512 1
1 4716 7514 1
1 4716 9352 1
1 4716 9359 1
1 4716 9602 1
1 4716 9671 1
1 4716 9999 1
1 4716 10006 1
1 4716 10009 1
1 4716 10018 1
1 3549 3557 1
1 3549 3561 1
1 3549 3563 1
1 3549 3742 1
1 3549 3786 1
1 3549 3846 1
1 3549 3900 1
1 3549 3914 1
1 3549 3931 1
1 3549 3967 1
1 3549 3976 1
1 3549 4006 1
1 3549 4039 1
1 3549 4183 1
1 3549 4200 1
1 3549 4211 1
1 3549 4230 1
1 3549 4258 1
1 3549 4323 1
1 3549 4355 1
1 3549 4436 1
1 3549 4492 1
1 3549 4513 1
1 3549 4550 1
1 3549 4565 1
1 3549 4637 1
1 3549 4648 1
1 3549 4675 1
1 3549 4678 1
1 3549 4685 1
1 3549 4693 1
1 3549 4725 1
1 3549 4755 1
1 3549 4766 1
1 3549 5000 1
1 3549 5033 1
1 3549 5097 1
1 3549 5401 1
1 3549 5430 1
1 3549 5459 1
1 3549 5511 1
1 3549 5650 1
1 3549 5651 1
1 3549 5668 1
1 3549 5684 1
1 3549 5705 1
1 3549 5727 1
1 3549 5738 1
1 3549 6066 1
1 3549 6079 1
1 3549 6095 1
1 3549 6123 1
1 3549 6140 1
1 3549 6172 1
1 3549 6220 1
1 3549 6221 1
1 3549 6259 1
1 3549 6325 1
1 3549 6347 1
1 3549 6358 1
1 3549 6371 1
1 3549 6395 1
1 3549 6402 1
1 3549 6427 1
1 3549 6453 1
1 3549 6461 1
1 3549 6467 1
1 3549 6469 1
1 3549 6484 1
1 3549 6555 1
1 3549 6576 1
1 3549 6716 1
1 3549 6762 1
1 3549 6785 1
1 3549 6841 1
1 3549 6950 1
1 3549 6954 1
1 3549 6967 1
1 3549 6993 1
1 3549 6999 1
1 3549 7010 1
1 3549 7018 1
1 3549 7055 1
1 3549 7091 1
1 3549 7138 1
1 3549 7141 1
1 3549 7170 1
1 3549 7176 1
1 3549 7194 1
1 3549 7232 1
1 3549 7296 1
1 3549 7321 1
1 3549 7351 1
1 3549 7473 1
1 3549 7503 1
1 3549 7514 1
1 3549 7518 1
1 3549 7673 1
1 3549 7683 1
1 3549 7686 1
1 3549 7770 1
1 3549 7837 1
1 3549 7883 1
1 3549 7908 1
1 3549 7911 1
1 3549 7922 1
1 3549 7930 1
1 3549 7936 1
1 3549 7960 1
1 3549 7976 1
1 3549 8001 1
1 3549 8002 1
1 3549 8011 1
1 3549 8057 1
1 3549 8070 1
1 3549 8120 1
1 3549 8259 1
1 3549 8297 1
1 3549 8327 1
1 3549 8723 1
1 3549 8731 1
1 3549 8881 1
1 3549 9057 1
1 3549 9145 1
1 3549 9167 1
1 3549 9211 1
1 3549 9304 1
1 3549 9370 1
1 3549 9595 1
1 3549 9603 1
1 3549 9607 1
1 3549 9609 1
1 3549 9610 1
1 3549 9680 1
1 3549 9824 1
1 3549 10007 1
1 3549 10240 1
1 3549 10265 1
1 3549 10310 1
1 3549 10325 1
1 3549 10381 1
1 3549 10487 1
1 3549 10514 1
1 3549 10627 1
1 3549 10663 1
1 3549 10673 1
1 3549 10732 1
1 3549 10759 1
1 3549 10860 1
1 3549 10910 1
1 3549 10911 1
1 3549 10913 1
1 3549 11022 1
1 3549 11023 1
1 3549 11042 1
1 3549 11135 1
1 3549 11162 1
1 3549 11192 1
1 3549 11206 1
1 3549 11220 1
1 3549 11325 1
1 3549 11333 1
1 3549 11378 1
1 3549 11388 1
1 3549 11443 1
1 3549 11456 1
1 3549 11480 1
1 3549 11588 1
1 3549 11638 1
1 3549 11656 1
1 3549 11669 1
1 3549 11674 1
1 3549 11680 1
1 3549 11711 1
1 3549 11731 1
1 3549 11767 1
1 3549 11783 1
1 3549 11803 1
1 3549 11841 1
1 3549 11880 1
1 3549 11881 1
1 3549 11899 1
1 3549 11913 1
1 3549 11935 1
1 3549 11992 1
1 3549 12012 1
1 3549 12050 1
1 3549 12077 1
1 3549 12092 1
1 3549 12114 1
1 3549 12117 1
1 3549 12156 1
1 3549 12158 1
1 3549 12220 1
1 3549 12235 1
1 3549 12236 1
1 3549 12731 1
1 3549 12781 1
1 3549 12956 1
1 3549 13003 1
1 3549 13009 1
1 3549 13108 1
1 3549 13129 1
1 3549 13163 1
1 3549 13207 1
1 3549 13219 1
1 3549 13328 1
1 3549 13344 1
1 3549 13345 1
1 3549 13405 1
1 3549 13423 1
1 3549 13468 1
1 3549 13525 1
1 3549 13526 1
1 3549 13543 1
1 3549 13549 1
1 3549 13609 1
1 3549 13627 1
1 3549 13629 1
1 3549 13646 1
1 3549 13703 1
1 3549 13721 1
1 3549 13724 1
1 3549 13734 1
1 3549 13744 1
1 3549 13768 1
