Time Start Target Weight

0 1467 1591 1
4 1513 1591 1
18 1591 1467 1
20 1591 1467 1
22 1591 1467 1
24 1591 1467 1
30 1467 1591 1
32 1467 1591 1
34 1467 1591 1
44 1568 1591 1
46 1568 1591 1
48 1568 1591 1
50 1568 1591 1
56 1562 1467 1
66 1524 1562 1
70 1524 1562 1
74 1771 1428 1
88 1600 1523 1
88 1525 1529 1
88 1600 1544 1
88 1600 1529 1
88 1600 1519 1
88 1544 1529 1
88 1544 1519 1
88 1600 1525 1
88 1600 1583 1
88 1510 1519 1
88 1544 1525 1
88 1519 1583 1
88 1519 1525 1
88 1519 1529 1
88 1549 1525 1
88 1583 1529 1
88 1510 1525 1
88 1583 1525 1
88 1553 1525 1
88 1583 1510 1
90 1606 1523 1
90 1600 1510 1
90 1600 1544 1
90 1600 1549 1
90 1600 1529 1
90 1600 1519 1
90 1510 1544 1
90 1544 1583 1
90 1544 1529 1
90 1544 1519 1
90 1549 1529 1
90 1519 1553 1
90 1523 1525 1
90 1600 1553 1
90 1600 1525 1
90 1600 1583 1
90 1510 1549 1
90 1510 1529 1
90 1510 1519 1
90 1544 1553 1
90 1544 1549 1
90 1544 1525 1
90 1519 1549 1
90 1519 1583 1
90 1519 1525 1
90 1519 1529 1
90 1549 1553 1
90 1549 1525 1
90 1549 1583 1
90 1583 1529 1
90 1553 1523 1
90 1510 1525 1
90 1583 1553 1
90 1583 1525 1
90 1553 1525 1
90 1510 1553 1
90 1583 1510 1
92 1600 1510 1
92 1600 1544 1
92 1600 1549 1
92 1600 1529 1
92 1600 1519 1
92 1510 1544 1
92 1544 1583 1
92 1544 1529 1
92 1544 1519 1
92 1549 1529 1
92 1519 1553 1
92 1523 1525 1
92 1600 1553 1
92 1600 1525 1
92 1600 1583 1
92 1510 1549 1
92 1510 1529 1
92 1510 1519 1
92 1544 1553 1
92 1544 1523 1
92 1544 1549 1
92 1544 1525 1
92 1519 1549 1
92 1519 1583 1
92 1519 1523 1
92 1519 1525 1
92 1519 1529 1
92 1549 1553 1
92 1549 1525 1
92 1549 1583 1
92 1583 1529 1
92 1553 1523 1
92 1529 1525 1
92 1510 1525 1
92 1583 1553 1
92 1583 1525 1
92 1553 1525 1
92 1510 1553 1
92 1583 1510 1
94 1600 1553 1
94 1600 1523 1
94 1600 1525 1
94 1600 1583 1
94 1510 1549 1
94 1510 1529 1
94 1510 1519 1
94 1544 1553 1
94 1544 1523 1
94 1544 1549 1
94 1544 1525 1
94 1519 1549 1
94 1519 1583 1
94 1519 1523 1
94 1519 1525 1
94 1519 1529 1
94 1549 1553 1
94 1549 1523 1
94 1549 1525 1
94 1549 1583 1
94 1583 1529 1
94 1553 1523 1
94 1523 1529 1
94 1529 1525 1
94 1510 1525 1
94 1583 1553 1
94 1583 1525 1
94 1553 1525 1
94 1510 1553 1
94 1583 1510 1
96 1510 1525 1
96 1583 1553 1
96 1583 1525 1
96 1553 1525 1
96 1510 1553 1
96 1583 1510 1
98 1519 1549 1
98 1510 1525 1
98 1583 1553 1
98 1583 1525 1
98 1553 1525 1
98 1510 1553 1
98 1583 1510 1
100 1622 1529 1
100 1510 1525 1
100 1583 1553 1
100 1583 1525 1
100 1553 1525 1
100 1510 1553 1
100 1583 1510 1
102 1510 1525 1
102 1583 1553 1
102 1583 1525 1
102 1553 1525 1
102 1510 1553 1
